发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,记录数,利润率,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
2,￥3,"(￥1,394)","￥3,221","￥2,458",提前装运,1,-57%,"Novimex 折叠椅, 黑色","(￥1,394)",2018/9/2,中国,华北,乌海,椅子,韦实,40%,11,内蒙古,家具,消费者,US-2018-3504524,2018/8/31,二级,"￥2,458"
2,￥3,￥104,"￥1,372","￥1,047",提前装运,1,10%,"SAFCO 椅垫, 可调",￥104,2018/9/2,中国,华北,乌海,椅子,韦实,40%,6,内蒙古,家具,消费者,US-2018-3504524,2018/8/31,二级,"￥1,047"
2,￥3,(￥179),￥612,￥467,提前装运,1,-38%,"Sauder 柜, 传统",(￥179),2018/9/2,中国,华北,乌海,书架,韦实,40%,1,内蒙古,家具,消费者,US-2018-3504524,2018/8/31,二级,￥467
2,￥3,(￥327),"￥5,145","￥3,926",提前装运,1,-8%,"Office Star 扶手椅, 红色",(￥327),2018/9/2,中国,华北,乌海,椅子,韦实,40%,3,内蒙古,家具,消费者,US-2018-3504524,2018/8/31,二级,"￥3,926"
6,￥6,￥134,￥611,￥466,准时装运,1,29%,"Acco 装订机, 耐用",￥134,2018/2/12,中国,华东,上海,装订机,施奇,0%,6,上海,办公用品,消费者,CN-2018-5956912,2018/2/6,标准级,￥466
5,￥6,￥46,￥611,￥466,提前装运,1,10%,"Kraft 商业信封, 红色",￥46,2015/8/27,中国,中南,沅江,信封,陈健,0%,5,湖南,办公用品,公司,CN-2015-4114478,2015/8/22,标准级,￥466
3,￥1,"￥3,110","￥10,449","￥7,974",延迟装运,1,39%,"KitchenAid 炉灶, 黑色","￥3,110",2018/8/27,中国,西南,曲靖,器具,程安,0%,3,云南,办公用品,消费者,CN-2018-1261828,2018/8/24,一级,"￥7,974"
3,￥1,￥301,"￥1,362","￥1,040",延迟装运,1,29%,"Harbour Creations 椅垫, 每套两件",￥301,2018/8/27,中国,西南,曲靖,椅子,程安,0%,3,云南,家具,消费者,CN-2018-1261828,2018/8/24,一级,"￥1,040"
3,￥1,￥101,￥472,￥360,延迟装运,1,28%,"Kraft 外皮和封条, 回收",￥101,2018/8/27,中国,西南,曲靖,信封,程安,0%,4,云南,办公用品,消费者,CN-2018-1261828,2018/8/24,一级,￥360
3,￥3,(￥234),￥97,￥74,准时装运,1,-316%,"Stanley 钢笔, 混合尺寸",(￥234),2018/11/14,中国,中南,黄石,美术,苏晒明,80%,6,湖北,办公用品,消费者,US-2018-3988119,2018/11/11,二级,￥74
3,￥3,(￥415),"￥1,812","￥1,383",准时装运,1,-30%,"Bush 墙角架, 金属",(￥415),2018/11/14,中国,中南,黄石,书架,苏晒明,40%,4,湖北,家具,消费者,US-2018-3988119,2018/11/11,二级,"￥1,383"
3,￥3,"(￥5,577)","￥11,538","￥8,805",准时装运,1,-63%,"惠普 复印机, 红色","(￥5,577)",2018/11/14,中国,中南,黄石,复印机,苏晒明,40%,13,湖北,技术,消费者,US-2018-3988119,2018/11/11,二级,"￥8,805"
5,￥6,￥45,￥246,￥188,提前装运,1,24%,"Boston 荧光笔, 金属",￥45,2016/9/16,中国,华北,大同,美术,袁临耀,0%,2,山西,办公用品,消费者,CN-2016-5320363,2016/9/11,标准级,￥188
5,￥6,￥25,￥654,￥499,提前装运,1,5%,"Tenex 框架, 耐用",￥25,2016/9/16,中国,华北,大同,用具,袁临耀,0%,1,山西,家具,消费者,CN-2016-5320363,2016/9/11,标准级,￥499
5,￥6,"￥2,029","￥8,865","￥6,765",提前装运,1,30%,"Dania 书库, 传统","￥2,029",2016/9/16,中国,华北,大同,书架,袁临耀,0%,4,山西,家具,消费者,CN-2016-5320363,2016/9/11,标准级,"￥6,765"
5,￥6,"￥3,710","￥17,364","￥13,251",提前装运,1,28%,"Hoover 炉灶, 黑色","￥3,710",2016/9/16,中国,华北,大同,器具,袁临耀,0%,5,山西,办公用品,消费者,CN-2016-5320363,2016/9/11,标准级,"￥13,251"
5,￥6,￥578,"￥3,033","￥2,314",提前装运,1,25%,"Bush 墙角架, 传统",￥578,2016/9/16,中国,华北,大同,书架,袁临耀,0%,4,山西,家具,消费者,CN-2016-5320363,2016/9/11,标准级,"￥2,314"
4,￥3,￥76,￥354,￥270,延迟装运,1,28%,"Kraft 外皮和封条, 回收",￥76,2015/12/31,中国,东北,佳木斯,信封,程根基,0%,3,黑龙江,办公用品,消费者,CN-2015-5278891,2015/12/27,二级,￥270
0,￥0,"￥5,778","￥19,927","￥15,207",准时装运,1,38%,"Hamilton Beach 炉灶, 银色","￥5,778",2018/12/4,中国,中南,桂林,器具,陈晨,0%,6,广西,办公用品,公司,CN-2018-2166981,2018/12/4,当日,"￥15,207"
4,￥6,￥0,￥314,￥239,提前装运,1,0%,"Advantus 灯泡, 耐用",￥0,2016/9/18,中国,东北,哈尔滨,用具,韦锦,0%,3,黑龙江,家具,消费者,CN-2016-4596452,2016/9/14,标准级,￥239
3,￥1,￥216,"￥1,578","￥1,204",延迟装运,1,18%,"Cameo 马尼拉纸信封, 回收",￥216,2018/6/12,中国,中南,新石,信封,宋忠,0%,10,湖北,办公用品,小型企业,CN-2018-1135813,2018/6/9,一级,"￥1,204"
3,￥1,￥5,￥38,￥29,延迟装运,1,17%,"Kleencut 尺子, 锯齿状",￥5,2018/6/12,中国,中南,新石,用品,宋忠,40%,1,湖北,办公用品,小型企业,CN-2018-1135813,2018/6/9,一级,￥29
5,￥6,￥96,￥448,￥342,提前装运,1,28%,"Acme 尺子, 工业",￥96,2018/2/8,中国,华东,合肥,用品,廖乐,0%,4,安徽,办公用品,消费者,CN-2018-5146329,2018/2/3,标准级,￥342
2,￥3,￥62,￥693,￥529,提前装运,1,12%,"Rubvermaid 灯泡, 一包多件",￥62,2016/6/10,中国,华东,苏州,用具,曹伟,40%,10,江苏,家具,消费者,CN-2016-2558627,2016/6/8,二级,￥529
4,￥6,￥77,￥247,￥188,提前装运,1,41%,"Smead 有色标签, 耐用",￥77,2018/10/26,中国,华北,忻州,标签,肖崆,0%,3,山西,办公用品,消费者,CN-2018-4230867,2018/10/22,标准级,￥188
2,￥3,(￥358),"￥1,563","￥1,193",提前装运,1,-30%,"Lesro 电脑桌, 长方形",(￥358),2016/10/11,中国,西北,和田,桌子,洪毅,40%,1,新疆,家具,公司,US-2016-1455125,2016/10/9,二级,"￥1,193"
6,￥6,￥504,"￥2,481","￥1,893",准时装运,1,27%,"Novimex 椅垫, 红色",￥504,2016/3/19,中国,中南,株洲,椅子,潘雯,10%,8,湖南,家具,公司,CN-2016-4054371,2016/3/13,标准级,"￥1,893"
6,￥6,￥371,"￥2,739","￥2,090",准时装运,1,18%,"Hon 凳子, 每套两件",￥371,2016/3/19,中国,中南,株洲,椅子,潘雯,10%,3,湖南,家具,公司,CN-2016-4054371,2016/3/13,标准级,"￥2,090"
6,￥6,￥217,￥917,￥700,准时装运,1,31%,"Advantus 闹钟, 优质",￥217,2016/3/19,中国,中南,株洲,用具,潘雯,0%,3,湖南,家具,公司,CN-2016-4054371,2016/3/13,标准级,￥700
6,￥6,￥42,￥252,￥192,准时装运,1,22%,"Eaton 计划信息表, 优质",￥42,2016/3/19,中国,中南,株洲,纸张,潘雯,0%,2,湖南,办公用品,公司,CN-2016-4054371,2016/3/13,标准级,￥192
6,￥6,￥7,￥250,￥191,准时装运,1,4%,"Sanford 荧光笔, 金属",￥7,2016/3/19,中国,中南,株洲,美术,潘雯,20%,3,湖南,办公用品,公司,CN-2016-4054371,2016/3/13,标准级,￥191
5,￥6,￥116,￥915,￥699,提前装运,1,17%,"Office Star 沙滩椅, 红色",￥116,2017/9/24,中国,中南,岳阳,椅子,韦磊,10%,3,湖南,家具,小型企业,CN-2017-2661656,2017/9/19,标准级,￥699
6,￥6,(￥205),￥412,￥314,准时装运,1,-65%,"Advantus 橡皮筋, 混合尺寸",(￥205),2015/5/16,中国,中南,武汉,系固件,谭临耀,40%,8,湖北,办公用品,消费者,US-2015-4517151,2015/5/10,标准级,￥314
4,￥6,(￥289),￥126,￥96,提前装运,1,-300%,"Binney & Smith 画布, 整包",(￥289),2017/11/30,中国,华东,丰县,美术,吕欢悦,80%,2,江苏,办公用品,消费者,US-2017-5082514,2017/11/26,标准级,￥96
4,￥6,￥46,￥554,￥423,提前装运,1,11%,"SanDisk 羊皮纸, 多色",￥46,2017/11/30,中国,华东,丰县,纸张,吕欢悦,0%,5,江苏,办公用品,消费者,US-2017-5082514,2017/11/26,标准级,￥423
4,￥3,￥478,"￥7,836","￥5,980",延迟装运,1,8%,"StarTech 打印机, 耐用",￥478,2018/11/1,中国,华北,咸水沽,设备,付涛,0%,5,天津,技术,公司,CN-2018-5445015,2018/10/28,二级,"￥5,980"
0,￥0,￥47,￥140,￥107,准时装运,1,44%,"Smead 运输标签, 红色",￥47,2018/6/3,中国,华东,潍坊,标签,叶实,0%,2,山东,办公用品,公司,CN-2018-3360468,2018/6/3,当日,￥107
2,￥1,￥55,￥157,￥120,延迟装运,1,46%,"Acco 标签, 实惠",￥55,2018/9/2,中国,华东,上海,装订机,陈立,0%,3,上海,办公用品,小型企业,CN-2018-2501800,2018/8/31,一级,￥120
2,￥1,￥16,￥237,￥181,延迟装运,1,9%,"Accos 夹子, 整包",￥16,2018/8/13,中国,西南,永川,系固件,余嫒,0%,2,重庆,办公用品,公司,CN-2018-3284718,2018/8/11,一级,￥181
2,￥1,￥24,￥70,￥53,延迟装运,1,45%,"Novimex 运输标签, 耐用",￥24,2018/8/13,中国,西南,永川,标签,余嫒,0%,1,重庆,办公用品,公司,CN-2018-3284718,2018/8/11,一级,￥53
2,￥1,￥157,￥646,￥493,延迟装运,1,32%,"Deflect-O 灯泡, 优质",￥157,2018/8/13,中国,西南,永川,用具,余嫒,0%,6,重庆,家具,公司,CN-2018-3284718,2018/8/11,一级,￥493
1,￥1,￥151,￥431,￥329,准时装运,1,46%,"Stockwell 按钉, 金属",￥151,2018/8/16,中国,东北,辽源,系固件,曾岱,0%,5,吉林,办公用品,消费者,CN-2018-4927110,2018/8/15,一级,￥329
1,￥1,￥92,"￥1,075",￥821,准时装运,1,11%,"BIC 画布, 金属",￥92,2018/8/16,中国,东北,辽源,美术,曾岱,20%,4,吉林,办公用品,消费者,CN-2018-4927110,2018/8/15,一级,￥821
1,￥1,￥0,"￥5,687","￥4,340",准时装运,1,0%,"Office Star 扶手椅, 黑色",￥0,2018/8/16,中国,东北,辽源,椅子,曾岱,0%,2,吉林,家具,消费者,CN-2018-4927110,2018/8/15,一级,"￥4,340"
1,￥1,￥235,￥642,￥490,准时装运,1,48%,"Green Bar 信纸, 每包 12 个",￥235,2018/8/16,中国,东北,辽源,纸张,曾岱,0%,2,吉林,办公用品,消费者,CN-2018-4927110,2018/8/15,一级,￥490
1,￥1,￥118,"￥5,144","￥3,926",准时装运,1,3%,"夏普 传真复印机, 数字化",￥118,2018/8/16,中国,东北,辽源,复印机,曾岱,0%,5,吉林,技术,消费者,CN-2018-4927110,2018/8/15,一级,"￥3,926"
1,￥1,￥78,"￥2,547","￥1,944",准时装运,1,4%,"思科 办公室电话机, 混合尺寸",￥78,2018/8/16,中国,东北,辽源,电话,曾岱,0%,5,吉林,技术,消费者,CN-2018-4927110,2018/8/15,一级,"￥1,944"
6,￥6,￥337,￥901,￥688,准时装运,1,49%,"施乐 信纸, 每包 12 个",￥337,2017/10/2,中国,华东,宁海,纸张,唐忠,0%,3,浙江,办公用品,公司,CN-2017-1300278,2017/9/26,标准级,￥688
6,￥6,(￥16),￥301,￥230,准时装运,1,-7%,"Avery 打孔机, 透明",(￥16),2017/10/2,中国,华东,宁海,装订机,唐忠,40%,3,浙江,办公用品,公司,CN-2017-1300278,2017/9/26,标准级,￥230
6,￥6,(￥272),"￥1,644","￥1,254",准时装运,1,-22%,"Sauder 书架, 白色",(￥272),2017/10/2,中国,华东,宁海,书架,唐忠,40%,3,浙江,家具,公司,CN-2017-1300278,2017/9/26,标准级,"￥1,254"
6,￥6,(￥364),"￥2,860","￥2,183",准时装运,1,-17%,"Enermax 路由器, 可编程",(￥364),2017/10/2,中国,华东,宁海,配件,唐忠,40%,3,浙江,技术,公司,CN-2017-1300278,2017/9/26,标准级,"￥2,183"
6,￥6,￥3,￥198,￥151,准时装运,1,2%,"Smead 盒, 蓝色",￥3,2017/10/2,中国,华东,宁海,收纳具,唐忠,0%,3,浙江,办公用品,公司,CN-2017-1300278,2017/9/26,标准级,￥151
6,￥6,(￥787),"￥1,934","￥1,476",准时装运,1,-53%,"Hoover 冰箱, 银色",(￥787),2017/10/2,中国,华东,宁海,器具,唐忠,40%,1,浙江,办公用品,公司,CN-2017-1300278,2017/9/26,标准级,"￥1,476"
6,￥6,(￥10),￥189,￥144,准时装运,1,-7%,"Ibico 订书机, 实惠",(￥10),2017/10/2,中国,华东,宁海,装订机,唐忠,40%,1,浙江,办公用品,公司,CN-2017-1300278,2017/9/26,标准级,￥144
4,￥6,￥205,"￥1,791","￥1,367",提前装运,1,15%,"Memorex 路由器, 回收",￥205,2018/12/23,中国,华东,宁波,配件,何惠,40%,2,浙江,技术,公司,CN-2018-1964482,2018/12/19,标准级,"￥1,367"
4,￥6,(￥203),￥419,￥320,提前装运,1,-63%,"Enermax 鼠标, 回收",(￥203),2018/12/23,中国,华东,宁波,配件,何惠,40%,3,浙江,技术,公司,CN-2018-1964482,2018/12/19,标准级,￥320
4,￥6,(￥99),￥650,￥496,提前装运,1,-20%,"思科 耳机, 整包",(￥99),2018/12/23,中国,华东,宁波,电话,何惠,40%,2,浙江,技术,公司,CN-2018-1964482,2018/12/19,标准级,￥496
4,￥6,(￥15),￥85,￥65,提前装运,1,-24%,"OIC 图钉, 混合尺寸",(￥15),2018/12/23,中国,华东,宁波,系固件,何惠,40%,2,浙江,办公用品,公司,CN-2018-1964482,2018/12/19,标准级,￥65
4,￥6,￥786,"￥2,786","￥2,126",提前装运,1,37%,"SanDisk 记忆卡, 可编程",￥786,2016/6/17,中国,东北,镇赉,配件,夏娜,0%,4,吉林,技术,小型企业,CN-2016-5533473,2016/6/13,标准级,"￥2,126"
4,￥6,￥440,"￥2,509","￥1,914",提前装运,1,23%,"苹果 信号增强器, 整包",￥440,2016/6/17,中国,东北,镇赉,电话,夏娜,0%,3,吉林,技术,小型企业,CN-2016-5533473,2016/6/13,标准级,"￥1,914"
5,￥3,"￥4,591","￥20,749","￥15,834",延迟装运,1,29%,"KitchenAid 微波炉, 白色","￥4,591",2018/5/3,中国,华东,济南,器具,葛彩,0%,11,山东,办公用品,消费者,CN-2018-5834341,2018/4/28,二级,"￥15,834"
5,￥3,￥186,￥875,￥668,延迟装运,1,28%,"Eaton 备忘录便条, 每包 12 个",￥186,2018/5/3,中国,华东,济南,纸张,葛彩,0%,8,山东,办公用品,消费者,CN-2018-5834341,2018/4/28,二级,￥668
6,￥6,(￥790),"￥1,939","￥1,480",准时装运,1,-53%,"Office Star 凳子, 每套两件",(￥790),2018/5/18,中国,中南,襄樊,椅子,彭伟,40%,3,湖北,家具,小型企业,US-2018-1925348,2018/5/12,标准级,"￥1,480"
5,￥6,￥743,"￥1,989","￥1,518",提前装运,1,49%,"Tenex 盘, 蓝色",￥743,2018/7/21,中国,华东,临沂,收纳具,秦梦,0%,6,山东,办公用品,消费者,CN-2018-3805086,2018/7/16,标准级,"￥1,518"
6,￥6,(￥14),￥103,￥79,准时装运,1,-18%,"Advantus 回形针, 金属",(￥14),2015/11/22,中国,华东,杭州,系固件,唐欢悦,40%,2,浙江,办公用品,消费者,US-2015-4164715,2015/11/16,标准级,￥79
3,￥1,"￥1,306","￥5,349","￥4,082",延迟装运,1,32%,"Sauder 古典书架, 黑色","￥1,306",2018/6/4,中国,华东,宿州,书架,殷菊,0%,2,安徽,家具,消费者,CN-2018-2267443,2018/6/1,一级,"￥4,082"
3,￥1,￥264,"￥1,019",￥778,延迟装运,1,34%,"SanDisk 键区, 耐用",￥264,2018/6/4,中国,华东,宿州,配件,殷菊,0%,3,安徽,技术,消费者,CN-2018-2267443,2018/6/1,一级,￥778
6,￥6,￥234,"￥2,790","￥2,129",准时装运,1,11%,"三星 耳机, 混合尺寸",￥234,2017/6/6,中国,华北,阳泉,电话,戴康,0%,6,山西,技术,消费者,CN-2017-3374395,2017/5/31,标准级,"￥2,129"
4,￥6,￥37,￥584,￥445,提前装运,1,8%,"Office Star 沙滩椅, 黑色",￥37,2017/6/26,中国,西南,遂宁,椅子,熊临耀,40%,3,四川,家具,消费者,CN-2017-4651879,2017/6/22,标准级,￥445
4,￥6,￥178,"￥1,020",￥778,提前装运,1,23%,"SanDisk 计划信息表, 优质",￥178,2017/6/26,中国,西南,遂宁,纸张,熊临耀,0%,7,四川,办公用品,消费者,CN-2017-4651879,2017/6/22,标准级,￥778
4,￥6,￥172,￥491,￥375,提前装运,1,46%,"Eldon 文件夹, 金属",￥172,2017/6/26,中国,西南,遂宁,收纳具,熊临耀,0%,5,四川,办公用品,消费者,CN-2017-4651879,2017/6/22,标准级,￥375
4,￥6,"￥1,352","￥5,369","￥4,097",提前装运,1,33%,"Advantus 框架, 优质","￥1,352",2015/7/8,中国,华北,长治,用具,冯婷,0%,8,山西,家具,小型企业,CN-2015-2501800,2015/7/4,标准级,"￥4,097"
6,￥6,￥323,"￥1,145",￥874,准时装运,1,37%,"Green Bar 笔记本, 多色",￥323,2018/2/19,中国,中南,广州,纸张,楚聪,0%,6,广东,办公用品,消费者,CN-2018-2274876,2018/2/13,标准级,￥874
0,￥0,￥315,"￥1,588","￥1,212",准时装运,1,26%,"摩托罗拉 智能手机, 整包",￥315,2016/11/13,中国,中南,平顶山,电话,徐虢,0%,2,河南,技术,公司,CN-2016-3954075,2016/11/13,当日,"￥1,212"
2,￥1,(￥141),￥55,￥42,延迟装运,1,-335%,"Stanley 记号笔, 整包",(￥141),2017/7/4,中国,西南,成都,美术,田丽娜,80%,2,四川,办公用品,公司,US-2017-2257547,2017/7/2,一级,￥42
4,￥6,￥675,"￥4,425","￥3,377",提前装运,1,20%,"Bush 柜, 黑色",￥675,2016/10/13,中国,华北,廊坊,书架,郝绅,0%,5,河北,家具,消费者,CN-2016-3904829,2016/10/9,标准级,"￥3,377"
4,￥6,￥125,￥568,￥433,提前装运,1,29%,"Jiffy 局间信封, 每套 50 个",￥125,2016/10/13,中国,华北,廊坊,信封,郝绅,0%,2,河北,办公用品,消费者,CN-2016-3904829,2016/10/9,标准级,￥433
4,￥6,￥103,"￥1,039",￥793,提前装运,1,13%,"Enermax 键盘, 可编程",￥103,2016/10/13,中国,华北,廊坊,配件,郝绅,0%,2,河北,技术,消费者,CN-2016-3904829,2016/10/9,标准级,￥793
4,￥6,￥301,￥805,￥614,提前装运,1,49%,"Tenex 门挡, 黑色",￥301,2017/4/15,中国,华北,榆次,用具,何惠,0%,3,山西,家具,公司,CN-2017-4733722,2017/4/11,标准级,￥614
4,￥6,￥0,"￥5,687","￥4,340",提前装运,1,0%,"Office Star 扶手椅, 黑色",￥0,2017/4/15,中国,华北,榆次,椅子,何惠,0%,2,山西,家具,公司,CN-2017-4733722,2017/4/11,标准级,"￥4,340"
4,￥6,￥202,￥617,￥471,提前装运,1,43%,"BIC 荧光笔, 金属",￥202,2017/4/15,中国,华北,榆次,美术,何惠,0%,5,山西,办公用品,公司,CN-2017-4733722,2017/4/11,标准级,￥471
2,￥1,￥42,￥189,￥144,延迟装运,1,29%,"Ibico 装订机, 实惠",￥42,2016/12/2,中国,中南,深圳,装订机,潘盛,0%,2,广东,办公用品,消费者,CN-2016-3138520,2016/11/30,一级,￥144
2,￥1,￥314,"￥1,029",￥785,延迟装运,1,40%,"SAFCO 椅垫, 可调",￥314,2016/12/2,中国,中南,深圳,椅子,潘盛,10%,3,广东,家具,消费者,CN-2016-3138520,2016/11/30,一级,￥785
2,￥1,"￥3,135","￥9,784","￥7,466",延迟装运,1,42%,"Brother 传真机, 彩色","￥3,135",2016/12/2,中国,中南,深圳,复印机,潘盛,0%,5,广东,技术,消费者,CN-2016-3138520,2016/11/30,一级,"￥7,466"
2,￥1,"￥2,555","￥7,280","￥5,556",延迟装运,1,46%,"Smead 锁柜, 蓝色","￥2,555",2016/12/2,中国,中南,深圳,收纳具,潘盛,0%,6,广东,办公用品,消费者,CN-2016-3138520,2016/11/30,一级,"￥5,556"
4,￥6,￥58,￥508,￥388,提前装运,1,15%,"SanDisk 羊皮纸, 回收",￥58,2018/10/3,中国,东北,铁力,纸张,吕欢悦,0%,5,黑龙江,办公用品,消费者,CN-2018-5378913,2018/9/29,标准级,￥388
2,￥1,￥448,"￥2,099","￥1,601",延迟装运,1,28%,"Enermax 记忆卡, 实惠",￥448,2018/12/31,中国,东北,铁力,配件,薛君,0%,3,黑龙江,技术,消费者,CN-2018-4121606,2018/12/29,一级,"￥1,601"
4,￥3,￥86,￥321,￥245,延迟装运,1,35%,"Stockwell 图钉, 整包",￥86,2017/8/12,中国,东北,青冈,系固件,武杰,0%,4,黑龙江,办公用品,小型企业,CN-2017-4092734,2017/8/8,二级,￥245
4,￥3,￥148,"￥2,155","￥1,644",延迟装运,1,9%,"Hamilton Beach 搅拌机, 黑色",￥148,2017/8/12,中国,东北,青冈,器具,武杰,0%,5,黑龙江,办公用品,小型企业,CN-2017-4092734,2017/8/8,二级,"￥1,644"
4,￥3,￥127,￥520,￥397,延迟装运,1,32%,"Eldon 文件夹, 单宽度",￥127,2017/8/12,中国,东北,青冈,收纳具,武杰,0%,5,黑龙江,办公用品,小型企业,CN-2017-4092734,2017/8/8,二级,￥397
4,￥6,￥210,"￥1,375","￥1,049",提前装运,1,20%,"SanDisk 记忆卡, 实惠",￥210,2016/6/24,中国,西南,昭通,配件,贾廉,0%,2,云南,技术,消费者,CN-2016-4978724,2016/6/20,标准级,"￥1,049"
4,￥6,￥42,￥177,￥135,提前装运,1,31%,"Boston 铅笔刀, 蓝色",￥42,2016/6/24,中国,西南,昭通,美术,贾廉,0%,1,云南,办公用品,消费者,CN-2016-4978724,2016/6/20,标准级,￥135
4,￥6,"￥1,282","￥3,362","￥2,566",提前装运,1,50%,"Rubvermaid 框架, 一包多件","￥1,282",2016/6/24,中国,西南,昭通,用具,贾廉,0%,5,云南,家具,消费者,CN-2016-4978724,2016/6/20,标准级,"￥2,566"
0,￥0,￥10,￥427,￥326,准时装运,1,3%,"Tenex 文件夹, 单宽度",￥10,2015/12/21,中国,华北,天津,收纳具,佘莲,0%,3,天津,办公用品,消费者,CN-2015-2664017,2015/12/21,当日,￥326
0,￥0,"￥1,624","￥7,600","￥5,800",准时装运,1,28%,"宜家 古典书架, 白色","￥1,624",2015/12/21,中国,华北,天津,书架,佘莲,0%,3,天津,家具,消费者,CN-2015-2664017,2015/12/21,当日,"￥5,800"
5,￥6,￥98,￥274,￥209,提前装运,1,47%,"Jiffy 外皮和封条, 银色",￥98,2015/11/16,中国,华北,乌海,信封,马丽,0%,2,内蒙古,办公用品,消费者,CN-2015-2501800,2015/11/11,标准级,￥209
7,￥6,"￥1,425","￥3,890","￥2,968",延迟装运,1,48%,"诺基亚 充电器, 蓝色","￥1,425",2018/2/21,中国,华东,合肥,电话,黄磊,0%,1,安徽,技术,消费者,CN-2018-1891447,2018/2/14,标准级,"￥2,968"
7,￥6,(￥17),￥216,￥165,延迟装运,1,-10%,"Boston 荧光笔, 混合尺寸",(￥17),2018/2/21,中国,华东,合肥,美术,黄磊,20%,2,安徽,办公用品,消费者,CN-2018-1891447,2018/2/14,标准级,￥165
7,￥6,￥56,￥294,￥224,延迟装运,1,25%,"Kraft 外皮和封条, 红色",￥56,2018/2/21,中国,华东,合肥,信封,黄磊,0%,2,安徽,办公用品,消费者,CN-2018-1891447,2018/2/14,标准级,￥224
7,￥6,￥79,￥649,￥495,延迟装运,1,16%,"Advantus 相框, 一包多件",￥79,2018/2/21,中国,华东,合肥,用具,黄磊,0%,2,安徽,家具,消费者,CN-2018-1891447,2018/2/14,标准级,￥495
4,￥6,￥36,￥425,￥325,提前装运,1,11%,"Hoover 咖啡研磨机, 银色",￥36,2017/5/3,中国,中南,开封,器具,俞平,0%,1,河南,办公用品,小型企业,CN-2017-2577941,2017/4/29,标准级,￥325
3,￥1,￥53,￥847,￥646,延迟装运,1,8%,"Kleencut 大剪刀, 钢",￥53,2015/12/11,中国,西北,张掖,用品,严诚,40%,5,甘肃,办公用品,公司,US-2015-3767771,2015/12/8,一级,￥646
5,￥6,￥662,"￥10,841","￥8,273",提前装运,1,8%,"Eldon 锁柜, 金属",￥662,2018/5/10,中国,华东,明水,收纳具,倪爽,0%,9,山东,办公用品,公司,CN-2018-4992845,2018/5/5,标准级,"￥8,273"
5,￥6,￥214,￥802,￥612,提前装运,1,35%,"Elite 大剪刀, 锯齿状",￥214,2018/8/12,中国,中南,岳阳,用品,洪强,0%,3,湖南,办公用品,公司,CN-2018-5687295,2018/8/7,标准级,￥612
5,￥6,￥151,￥485,￥370,提前装运,1,41%,"Stockwell 回形针, 混合尺寸",￥151,2018/8/12,中国,中南,岳阳,系固件,洪强,0%,7,湖南,办公用品,公司,CN-2018-5687295,2018/8/7,标准级,￥370
4,￥3,￥640,"￥3,649","￥2,785",延迟装运,1,23%,"Smead 锁柜, 工业",￥640,2018/3/3,中国,西南,都匀,收纳具,俞毅,0%,3,贵州,办公用品,消费者,CN-2018-1752478,2018/2/27,二级,"￥2,785"
4,￥3,￥222,￥711,￥543,延迟装运,1,41%,"Eldon 相框, 一包多件",￥222,2018/3/3,中国,西南,都匀,用具,俞毅,0%,2,贵州,家具,消费者,CN-2018-1752478,2018/2/27,二级,￥543
2,￥1,￥668,"￥2,305","￥1,759",延迟装运,1,38%,"佳能 无线传真机, 红色",￥668,2017/9/7,中国,华东,禹城,复印机,余凤,0%,1,山东,技术,消费者,CN-2017-2828219,2017/9/5,一级,"￥1,759"
2,￥1,￥258,"￥1,694","￥1,292",延迟装运,1,20%,"思科 智能手机, 蓝色",￥258,2017/9/7,中国,华东,禹城,电话,余凤,0%,2,山东,技术,消费者,CN-2017-2828219,2017/9/5,一级,"￥1,292"
2,￥1,￥302,"￥1,132",￥864,延迟装运,1,35%,"Rogers 盘, 蓝色",￥302,2017/9/7,中国,华东,禹城,收纳具,余凤,0%,3,山东,办公用品,消费者,CN-2017-2828219,2017/9/5,一级,￥864
2,￥1,￥294,￥898,￥685,延迟装运,1,43%,"Smead 搁板, 蓝色",￥294,2017/9/7,中国,华东,禹城,收纳具,余凤,0%,3,山东,办公用品,消费者,CN-2017-2828219,2017/9/5,一级,￥685
2,￥1,￥72,￥789,￥602,延迟装运,1,12%,"Memorex 键区, 回收",￥72,2017/9/7,中国,华东,禹城,配件,余凤,0%,3,山东,技术,消费者,CN-2017-2828219,2017/9/5,一级,￥602
5,￥6,￥104,￥647,￥494,提前装运,1,21%,"Ibico 订书机, 耐用",￥104,2016/6/12,中国,西南,重庆,装订机,施梦,0%,2,重庆,办公用品,公司,CN-2016-4595101,2016/6/7,标准级,￥494
2,￥3,￥8,￥66,￥50,提前装运,1,15%,"Harbour Creations 有色标签, 可调",￥8,2016/10/8,中国,中南,梧州,标签,柯婷,0%,1,广西,办公用品,消费者,CN-2016-2606671,2016/10/6,二级,￥50
2,￥3,￥6,￥170,￥130,提前装运,1,5%,"Avery 打孔机, 实惠",￥6,2016/10/8,中国,中南,梧州,装订机,柯婷,0%,1,广西,办公用品,消费者,CN-2016-2606671,2016/10/6,二级,￥130
